file	pattern	expected_detection
ai-sample-001.ts	repeated-ternary-chain	hit
ai-sample-002.ts	duplicated-if-else-chain	hit
ai-sample-003.ts	parallel-branching-return	hit
ai-sample-004.ts	object-lookup-control	miss
ai-sample-005.ts	repeated-ternary-chain	hit
ai-sample-006.ts	duplicated-if-else-chain	hit
ai-sample-007.ts	parallel-branching-return	hit
ai-sample-008.ts	object-lookup-control	miss
ai-sample-009.ts	repeated-ternary-chain	hit
ai-sample-010.ts	duplicated-if-else-chain	hit
ai-sample-011.ts	parallel-branching-return	hit
ai-sample-012.ts	object-lookup-control	miss
ai-sample-013.ts	repeated-ternary-chain	hit
ai-sample-014.ts	duplicated-if-else-chain	hit
ai-sample-015.ts	parallel-branching-return	hit
ai-sample-016.ts	object-lookup-control	miss
ai-sample-017.ts	repeated-ternary-chain	hit
ai-sample-018.ts	duplicated-if-else-chain	hit
ai-sample-019.ts	parallel-branching-return	hit
ai-sample-020.ts	object-lookup-control	miss
ai-sample-021.ts	repeated-ternary-chain	hit
ai-sample-022.ts	duplicated-if-else-chain	hit
ai-sample-023.ts	parallel-branching-return	hit
ai-sample-024.ts	object-lookup-control	miss
ai-sample-025.ts	repeated-ternary-chain	hit
ai-sample-026.ts	duplicated-if-else-chain	hit
ai-sample-027.ts	parallel-branching-return	hit
ai-sample-028.ts	object-lookup-control	miss
ai-sample-029.ts	repeated-ternary-chain	hit
ai-sample-030.ts	duplicated-if-else-chain	hit
ai-sample-031.ts	parallel-branching-return	hit
ai-sample-032.ts	object-lookup-control	miss
ai-sample-033.ts	repeated-ternary-chain	hit
ai-sample-034.ts	duplicated-if-else-chain	hit
ai-sample-035.ts	parallel-branching-return	hit
ai-sample-036.ts	object-lookup-control	miss
ai-sample-037.ts	repeated-ternary-chain	hit
ai-sample-038.ts	duplicated-if-else-chain	hit
ai-sample-039.ts	parallel-branching-return	hit
ai-sample-040.ts	object-lookup-control	miss
ai-sample-041.ts	repeated-ternary-chain	hit
ai-sample-042.ts	duplicated-if-else-chain	hit
ai-sample-043.ts	parallel-branching-return	hit
ai-sample-044.ts	object-lookup-control	miss
ai-sample-045.ts	repeated-ternary-chain	hit
ai-sample-046.ts	duplicated-if-else-chain	hit
ai-sample-047.ts	parallel-branching-return	hit
ai-sample-048.ts	object-lookup-control	miss
ai-sample-049.ts	repeated-ternary-chain	hit
ai-sample-050.ts	duplicated-if-else-chain	hit
ai-sample-051.ts	parallel-branching-return	hit
ai-sample-052.ts	object-lookup-control	miss
ai-sample-053.ts	repeated-ternary-chain	hit
ai-sample-054.ts	duplicated-if-else-chain	hit
ai-sample-055.ts	parallel-branching-return	hit
ai-sample-056.ts	object-lookup-control	miss
ai-sample-057.ts	repeated-ternary-chain	hit
ai-sample-058.ts	duplicated-if-else-chain	hit
ai-sample-059.ts	parallel-branching-return	hit
ai-sample-060.ts	object-lookup-control	miss
ai-sample-061.ts	repeated-ternary-chain	hit
ai-sample-062.ts	duplicated-if-else-chain	hit
ai-sample-063.ts	parallel-branching-return	hit
ai-sample-064.ts	object-lookup-control	miss
ai-sample-065.ts	repeated-ternary-chain	hit
ai-sample-066.ts	duplicated-if-else-chain	hit
ai-sample-067.ts	parallel-branching-return	hit
ai-sample-068.ts	object-lookup-control	miss
ai-sample-069.ts	repeated-ternary-chain	hit
ai-sample-070.ts	duplicated-if-else-chain	hit
ai-sample-071.ts	parallel-branching-return	hit
ai-sample-072.ts	object-lookup-control	miss
ai-sample-073.ts	repeated-ternary-chain	hit
ai-sample-074.ts	duplicated-if-else-chain	hit
ai-sample-075.ts	parallel-branching-return	hit
ai-sample-076.ts	object-lookup-control	miss
ai-sample-077.ts	repeated-ternary-chain	hit
ai-sample-078.ts	duplicated-if-else-chain	hit
ai-sample-079.ts	parallel-branching-return	hit
ai-sample-080.ts	object-lookup-control	miss
ai-sample-081.ts	repeated-ternary-chain	hit
ai-sample-082.ts	duplicated-if-else-chain	hit
ai-sample-083.ts	parallel-branching-return	hit
ai-sample-084.ts	object-lookup-control	miss
ai-sample-085.ts	repeated-ternary-chain	hit
ai-sample-086.ts	duplicated-if-else-chain	hit
ai-sample-087.ts	parallel-branching-return	hit
ai-sample-088.ts	object-lookup-control	miss
ai-sample-089.ts	repeated-ternary-chain	hit
ai-sample-090.ts	duplicated-if-else-chain	hit
ai-sample-091.ts	parallel-branching-return	hit
ai-sample-092.ts	object-lookup-control	miss
ai-sample-093.ts	repeated-ternary-chain	hit
ai-sample-094.ts	duplicated-if-else-chain	hit
ai-sample-095.ts	parallel-branching-return	hit
ai-sample-096.ts	object-lookup-control	miss
ai-sample-097.ts	repeated-ternary-chain	hit
ai-sample-098.ts	duplicated-if-else-chain	hit
ai-sample-099.ts	parallel-branching-return	hit
ai-sample-100.ts	object-lookup-control	miss
ai-sample-101.ts	repeated-ternary-chain	hit
ai-sample-102.ts	duplicated-if-else-chain	hit
ai-sample-103.ts	parallel-branching-return	hit
ai-sample-104.ts	object-lookup-control	miss
ai-sample-105.ts	repeated-ternary-chain	hit
ai-sample-106.ts	duplicated-if-else-chain	hit
ai-sample-107.ts	parallel-branching-return	hit
ai-sample-108.ts	object-lookup-control	miss
ai-sample-109.ts	repeated-ternary-chain	hit
ai-sample-110.ts	duplicated-if-else-chain	hit
ai-sample-111.ts	parallel-branching-return	hit
ai-sample-112.ts	object-lookup-control	miss
ai-sample-113.ts	repeated-ternary-chain	hit
ai-sample-114.ts	duplicated-if-else-chain	hit
ai-sample-115.ts	parallel-branching-return	hit
ai-sample-116.ts	object-lookup-control	miss
ai-sample-117.ts	repeated-ternary-chain	hit
ai-sample-118.ts	duplicated-if-else-chain	hit
ai-sample-119.ts	parallel-branching-return	hit
ai-sample-120.ts	object-lookup-control	miss
